Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6979903,SRHINSTITUTIONALBIRTH,COUNTRY,ITA,EUR,Europe,YEAR,2019,,,,,,,DATASOURCE,DATASOURCE_SRHIBITA2019GOV,99.8,99.8,,,Certificato di assistenza al parto (CeDAP). Analisi dell’evento nascita - Anno 2019. ,2024-08-06T16:05:08Z,2019,2019-01-01,2019-12-31
3961862,SRHINSTITUTIONALBIRTH,COUNTRY,GNB,AFR,Africa,YEAR,2014,,,,,,,DATASOURCE,DATASOURCE_SRHIBGNB20122014MICS,44.0,44,,,"MICS 2014. 
",2024-08-06T16:05:08Z,2012-2014,2012-01-01,2014-12-31
8889141,SRHINSTITUTIONALBIRTH,COUNTRY,TUV,WPR,Western Pacific,YEAR,2007,,,,,,,DATASOURCE,DATASOURCE_SRHIBTUV20022007DHS,93.0,93,,,"DHS 2007. 
",2024-08-06T16:05:08Z,2002-2007,2002-01-01,2007-12-31
8914625,SRHINSTITUTIONALBIRTH,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,DATASOURCE,DATASOURCE_SRHIBQAT20102012MICS,98.9,98.9,,,"MICS 2012. 
",2024-08-06T16:05:08Z,2010-2012,2010-01-01,2012-12-31
7316319,SRHINSTITUTIONALBIRTH,COUNTRY,VEN,AMR,Americas,YEAR,2005,,,,,,,DATASOURCE,DATASOURCE_SRHIBVEN2005STAT,92.5,92.47098711,,,"Local de asistencia [website]. Venezuela: Instituto Nacional de Estadística, 2016 (accessed 14 October 2016, in Spanish). ",2024-08-06T16:05:08Z,2005,2005-01-01,2005-12-31
2566347,SRHINSTITUTIONALBIRTH,COUNTRY,LVA,EUR,Europe,YEAR,2014,,,,,,,DATASOURCE,DATASOURCE_SRHIBLVA2014GOV,98.1,98.1,,,The Centre for Disease Prevention and Control of Latvia; 2015.,2024-08-06T16:05:08Z,2014,2014-01-01,2014-12-31
2604452,SRHINSTITUTIONALBIRTH,COUNTRY,SGP,WPR,Western Pacific,YEAR,2013,,,,,,,DATASOURCE,DATASOURCE_SRHIBSGP2013STAT,99.6,99.6,,,"Department of Statistics [Singapore]; 2014.
",2024-08-06T16:05:08Z,2013,2013-01-01,2013-12-31
7595524,SRHINSTITUTIONALBIRTH,COUNTRY,MEX,AMR,Americas,YEAR,1990,,,,,,,DATASOURCE,DATASOURCE_SRHIBMEX1990STAT,71.0,71,,,"Instituto Nacional de Estadística, Geografía e Informática (INEGI) [Mexico]; 2001.",2024-08-06T16:05:08Z,1990,1990-01-01,1990-12-31
7773235,SRHINSTITUTIONALBIRTH,COUNTRY,BRN,WPR,Western Pacific,YEAR,2009,,,,,,,DATASOURCE,DATASOURCE_SRHIBBRN2009GOV,99.8,99.8,,,"Ministry of Health [Brunei Darussalam]; 2014.
",2024-08-06T16:05:08Z,2009,2009-01-01,2009-12-31
9397061,SRHINSTITUTIONALBIRTH,COUNTRY,PAN,AMR,Americas,YEAR,2002,,,,,,,DATASOURCE,DATASOURCE_SRHIBPAN2002STAT,92.8,92.8,,,Instituto Nacional de Estadística y Censo (INEC) [Panama]. Estadísticas Vitales 2002; 2004.,2024-08-06T16:05:08Z,2002,2002-01-01,2002-12-31
1512571,SRHINSTITUTIONALBIRTH,COUNTRY,ZWE,AFR,Africa,YEAR,2019,,,,,,,DATASOURCE,DATASOURCE_SRHIBZWE20172019MICS,85.5,85.5,,,MICS 2019.,2024-08-06T16:05:08Z,2017-2019,2017-01-01,2019-12-31
5122007,SRHINSTITUTIONALBIRTH,COUNTRY,NZL,WPR,Western Pacific,YEAR,2000,,,,,,,DATASOURCE,DATASOURCE_SRHIBNZL2000GOV,97.3,97.3,,,Ministry of Health [New Zealand]; 2003.,2024-08-06T16:05:08Z,2000,2000-01-01,2000-12-31
2267817,SRHINSTITUTIONALBIRTH,COUNTRY,MHL,WPR,Western Pacific,YEAR,2007,,,,,,,DATASOURCE,DATASOURCE_SRHIBMHL20022007DHS,85.1,85.1,,,"DHS 2007. 
",2024-08-06T16:05:08Z,2002-2007,2002-01-01,2007-12-31
2515666,SRHINSTITUTIONALBIRTH,COUNTRY,BRA,AMR,Americas,YEAR,2018,,,,,,,DATASOURCE,DATASOURCE_SRHIBBRA2018DATA,99.1,99.1,,,"DATASUS, MS/SVS/DASIS [Brazil]. Período: 2018.",2024-08-06T16:05:08Z,2018,2018-01-01,2018-12-31
2566371,SRHINSTITUTIONALBIRTH,COUNTRY,BOL,AMR,Americas,YEAR,2008,,,,,,,DATASOURCE,DATASOURCE_SRHIBBOL20032008DHS,67.5,67.5,,,DHS 2008. ,2024-08-06T16:05:08Z,2003-2008,2003-01-01,2008-12-31
9079856,SRHINSTITUTIONALBIRTH,COUNTRY,MNG,WPR,Western Pacific,YEAR,2010,,,,,,,DATASOURCE,DATASOURCE_SRHIBMNG20082010MICS,98.5,98.5,,,"MICS 2010. 
",2024-08-06T16:05:08Z,2008-2010,2008-01-01,2010-12-31
6941909,SRHINSTITUTIONALBIRTH,COUNTRY,ISL,EUR,Europe,YEAR,2017,,,,,,,DATASOURCE,DATASOURCE_SRHIBISL2017GOV,98.0,98,,,"Directorate of Health [Iceland]; 2019.
",2024-08-06T16:05:08Z,2017,2017-01-01,2017-12-31
8648076,SRHINSTITUTIONALBIRTH,COUNTRY,CMR,AFR,Africa,YEAR,1998,,,,,,,DATASOURCE,DATASOURCE_SRHIBCMR19951998DHS,54.3,54.3,,,"DHS 1998. 
",2024-08-06T16:05:08Z,1995-1998,1995-01-01,1998-12-31
6015785,SRHINSTITUTIONALBIRTH,COUNTRY,POL,EUR,Europe,YEAR,2000,,,,,,,DATASOURCE,DATASOURCE_SRHIBPOL2000STAT,99.4,99.4,,,"Central Statistical Office [Poland]; 2010.
",2024-08-06T16:05:08Z,2000,2000-01-01,2000-12-31
1220693,SRHINSTITUTIONALBIRTH,COUNTRY,SRB,EUR,Europe,YEAR,2019,,,,,,,DATASOURCE,DATASOURCE_SRHIBSRB20172019MICS,100.0,100,,,MICS 2019.,2024-08-06T16:05:08Z,2017-2019,2017-01-01,2019-12-31
1518959,SRHINSTITUTIONALBIRTH,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2017,,,,,,,DATASOURCE,DATASOURCE_SRHIBBGD2017STAT,48.2,48.2,,,Bangladesh Bureau of Statistics; 2018. ,2024-08-06T16:05:08Z,2017,2017-01-01,2017-12-31
8914696,SRHINSTITUTIONALBIRTH,COUNTRY,BIH,EUR,Europe,YEAR,2007,,,,,,,DATASOURCE,DATASOURCE_SRHIBBIH2007STAT,99.9,99.9,,,Federal Office of Statistics [Bosnia and Herzegovina]; 2011.,2024-08-06T16:05:08Z,2007,2007-01-01,2007-12-31
2845554,SRHINSTITUTIONALBIRTH,COUNTRY,MOZ,AFR,Africa,YEAR,2006,,,,,,,DATASOURCE,DATASOURCE_SRHIBMOZ2006STAT,48.4,48.4,,,"National Statistics Institute [Mozambique]; 2009. 
",2024-08-06T16:05:08Z,2006,2006-01-01,2006-12-31
5001919,SRHINSTITUTIONALBIRTH,COUNTRY,MKD,EUR,Europe,YEAR,2013,,,,,,,DATASOURCE,DATASOURCE_SRHIBMKD2013STAT,99.8,99.8,,,"State Statistical Office [Macedonia]; 2015.
",2024-08-06T16:05:08Z,2013,2013-01-01,2013-12-31
8971921,SRHINSTITUTIONALBIRTH,COUNTRY,ISL,EUR,Europe,YEAR,1997,,,,,,,DATASOURCE,DATASOURCE_SRHIBISL1997GOV,99.8,99.8,,,"Directorate of Health [Iceland]; 2017.
",2024-08-06T16:05:08Z,1997,1997-01-01,1997-12-31
1252514,SRHINSTITUTIONALBIRTH,COUNTRY,UKR,EUR,Europe,YEAR,2012,,,,,,,DATASOURCE,DATASOURCE_SRHIBUKR20102012MICS,98.9,98.9,,,"MICS 2012. 
",2024-08-06T16:05:08Z,2010-2012,2010-01-01,2012-12-31
9479588,SRHINSTITUTIONALBIRTH,COUNTRY,MLT,EUR,Europe,YEAR,2012,,,,,,,DATASOURCE,DATASOURCE_SRHIBMLT2012GOV,99.5,99.5,,,Department of Health Information and Research (DHIR) [Malta]; 2013.,2024-08-06T16:05:08Z,2012,2012-01-01,2012-12-31
9644613,SRHINSTITUTIONALBIRTH,COUNTRY,BRA,AMR,Americas,YEAR,2011,,,,,,,DATASOURCE,DATASOURCE_SRHIBBRA2011DATA,99.0,99,,,"DATASUS, MS/SVS/DASIS [Brazil]. Período: 2011; 2013.
",2024-08-06T16:05:08Z,2011,2011-01-01,2011-12-31
6751908,SRHINSTITUTIONALBIRTH,COUNTRY,EST,EUR,Europe,YEAR,2002,,,,,,,DATASOURCE,DATASOURCE_SRHIBEST2002GOV,99.5,99.5,,,"National Institute for Health Development [Estonia]; 2017.
",2024-08-06T16:05:08Z,2002,2002-01-01,2002-12-31
338893,SRHINSTITUTIONALBIRTH,COUNTRY,CHN,WPR,Western Pacific,YEAR,2000,,,,,,,DATASOURCE,DATASOURCE_SRHIBCHN2000GOV,72.9,72.9,,,"National Health and Family Planning Commission of China (NHFPC); 2016. 
",2024-08-06T16:05:08Z,2000,2000-01-01,2000-12-31
6897527,SRHINSTITUTIONALBIRTH,COUNTRY,FJI,WPR,Western Pacific,YEAR,2004,,,,,,,DATASOURCE,DATASOURCE_SRHIBFJI2004GOV,97.0,97,,,"Ministry of Health [Fiji]; 2007.
",2024-08-06T16:05:08Z,2004,2004-01-01,2004-12-31
8844836,SRHINSTITUTIONALBIRTH,COUNTRY,GNB,AFR,Africa,YEAR,2010,,,,,,,DATASOURCE,DATASOURCE_SRHIBGNB20082010MICS,41.4,41.4,,,"MICS 2010. 
",2024-08-06T16:05:08Z,2008-2010,2008-01-01,2010-12-31
820972,SRHINSTITUTIONALBIRTH,COUNTRY,GAB,AFR,Africa,YEAR,2012,,,,,,,DATASOURCE,DATASOURCE_SRHIBGAB20072012DHS,90.2,90.2,,,"DHS 2012. 
",2024-08-06T16:05:08Z,2007-2012,2007-01-01,2012-12-31
9118048,SRHINSTITUTIONALBIRTH,COUNTRY,BIH,EUR,Europe,YEAR,2010,,,,,,,DATASOURCE,DATASOURCE_SRHIBBIH2010STAT,99.9,99.9,,,Institute for Statistics of Federation of Bosnia and Herzegovina; 2015.,2024-08-06T16:05:08Z,2010,2010-01-01,2010-12-31
3061024,SRHINSTITUTIONALBIRTH,COUNTRY,PRY,AMR,Americas,YEAR,2019,,,,,,,DATASOURCE,DATASOURCE_SRHIBPRY2019STAT,97.8,97.8,,,INE/DGREC. Registros administrativos de estadísticas vitales 2019.,2024-08-06T16:05:08Z,2019,2019-01-01,2019-12-31
6351931,SRHINSTITUTIONALBIRTH,COUNTRY,PRY,AMR,Americas,YEAR,2010,,,,,,,DATASOURCE,DATASOURCE_SRHIBPRY2010STAT,95.6,95.6,,,"Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay].Estadísticas Vitales del Paraguay 2010; 2013.
",2024-08-06T16:05:08Z,2010,2010-01-01,2010-12-31
9657319,SRHINSTITUTIONALBIRTH,COUNTRY,EST,EUR,Europe,YEAR,2022,,,,,,,DATASOURCE,DATASOURCE_SRHIBEST2022GOV,99.1,99.1,,,National Institute for Health Development [Estonia]; 2023.,2024-08-06T16:05:08Z,2022,2022-01-01,2022-12-31
6713808,SRHINSTITUTIONALBIRTH,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,DATASOURCE,DATASOURCE_SRHIBSYR20042009WHO,78.2,78.2,,,"Central Bureau of Statistics [Syrian Arab Republic], League of Arab States PAPFAM, UNICEF, UNFPA, WHO; 2010.
",2024-08-06T16:05:08Z,2004-2009,2004-01-01,2009-12-31
4107853,SRHINSTITUTIONALBIRTH,COUNTRY,CYP,EUR,Europe,YEAR,2000,,,,,,,DATASOURCE,DATASOURCE_SRHIBCYP2000GOV,97.9,97.9,,,"Republic of Cyprus; 2011.
",2024-08-06T16:05:08Z,2000,2000-01-01,2000-12-31
4329329,SRHINSTITUTIONALBIRTH,COUNTRY,MOZ,AFR,Africa,YEAR,2005,,,,,,,DATASOURCE,DATASOURCE_SRHIBMOZ2005STAT,48.5,48.5,,,"National Statistics Institute [Mozambique]; 2009. 
",2024-08-06T16:05:08Z,2005,2005-01-01,2005-12-31
4538653,SRHINSTITUTIONALBIRTH,COUNTRY,ROU,EUR,Europe,YEAR,1999,,,,,,,DATASOURCE,DATASOURCE_SRHIBROU19941999RHS,98.0,98,,,"RHS 1999.
",2024-08-06T16:05:08Z,1994-1999,1994-01-01,1999-12-31
4735510,SRHINSTITUTIONALBIRTH,COUNTRY,USA,AMR,Americas,YEAR,1992,,,,,,,DATASOURCE,DATASOURCE_SRHIBUSA1992STAT,98.9,98.9,,,"Curtin SC, Park MM. National Center for Health Statistics; 1999.
",2024-08-06T16:05:08Z,1992,1992-01-01,1992-12-31
4925819,SRHINSTITUTIONALBIRTH,COUNTRY,TTO,AMR,Americas,YEAR,2002,,,,,,,DATASOURCE,DATASOURCE_SRHIBTTO2002GOV,98.7,98.7,,,"Ministry of Health [Trinidad and Tobago]; 2005.
",2024-08-06T16:05:08Z,2002,2002-01-01,2002-12-31
8553202,SRHINSTITUTIONALBIRTH,COUNTRY,VNM,WPR,Western Pacific,YEAR,1997,,,,,,,DATASOURCE,DATASOURCE_SRHIBVNM19941997DHS,61.7,61.7,,,"DHS 1997. 
",2024-08-06T16:05:08Z,1994-1997,1994-01-01,1997-12-31
7348132,SRHINSTITUTIONALBIRTH,COUNTRY,ROU,EUR,Europe,YEAR,1995,,,,,,,DATASOURCE,DATASOURCE_SRHIBROU1995STAT,99.8,99.82551416,,,National Institute of Statistics [Romania]; 2023,2024-08-06T16:05:08Z,1995,1995-01-01,1995-12-31
2807476,SRHINSTITUTIONALBIRTH,COUNTRY,DOM,AMR,Americas,YEAR,1991,,,,,,,DATASOURCE,DATASOURCE_SRHIBDOM19861991DHS,92.0,92,,,"DHS 1991. 
",2024-08-06T16:05:08Z,1986-1991,1986-01-01,1991-12-31
6066730,SRHINSTITUTIONALBIRTH,COUNTRY,CIV,AFR,Africa,YEAR,2016,,,,,,,DATASOURCE,DATASOURCE_SRHIBCIV20142016MICS,69.8,69.8,,,MICS 2016.,2024-08-06T16:05:08Z,2014-2016,2014-01-01,2016-12-31
