Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5591146,WHS4_115,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,2.7,2.7,,,"DHS 2015.  Central Statistics Organization (CSO), Ministry of Public Health (MoPH), ICF. Afghanistan Demographic and Health Survey 2015. Kabul, Afghanistan: Central Statistics Organization; 2017.",2018-04-09T09:34:04Z,2010-2015,2010-01-01,2015-12-31
5857652,WHS4_115,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,47.1,47.1,,,"Ministry of Public Health [Lebanon]; 2017.  Vital Data Observatory (VDO) statistics by Qada and nationality, 2016 [website]. Beirut: Ministry of Public Health [Lebanon]; 2017 (https://moph.gov.lb/en/Pages/8/327/#/en/Pages/8/14246/vital-data-observatory-statistics, accessed 30 November 2017).    ",2018-04-09T09:34:06Z,2016,2016-01-01,2016-12-31
2889929,WHS4_115,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,30.2,30.2,,,Ministry of Health [Saudi Arabia]; 2017. Statistical Year Book Kingdom of Saudi Arabia 2016 G/1437 H. Riyadh: Ministry of Health [Saudi Arabia]; 2017.,2018-04-09T09:34:07Z,2016,2016-01-01,2016-12-31
9948746,WHS4_115,COUNTRY,GIN,AFR,Africa,YEAR,2016,,,,,,,,,3.1,3.1,,,"MICS 2016. Institut National de la Statistique [Guinée], Fonds des Nations Unies pour l'Enfance (UNICEF), USAID, le Fonds mondial [the Global Fund], Fonds des Nations Unies pour la Population (FNUAP/UNFPA), Programme des Nations Unies pour le développement (PNUD/UNDP). Enquête par grappes à indicateurs multiples (MICS 2016), Rapport final. Conakry: Institut National de la Statistique [Guinée]; 2017 (in French).",2018-04-09T09:34:06Z,2014-2016,2014-01-01,2016-12-31
9739429,WHS4_115,COUNTRY,COL,AMR,Americas,YEAR,2016,,,,,,,,,45.8,45.8,,,"DANE [Colombia]. Estadísticas Vitales 2016; 2017. 
 DANE [online database]. Estadísticas Vitales – Nacimientos por tipo de parto, según departamento de residencia de la madre y multiplicidad del embarazo. 2016. Bogotá D.C.: Departamento Administrativo Nacional de Estadística (DANE); 2017 (http://www.dane.gov.com, accessed 31 October 2017, in Spanish).  ",2018-04-09T09:34:05Z,2016,2016-01-01,2016-12-31
6561454,WHS4_115,COUNTRY,TJK,EUR,Europe,YEAR,2012,,,,,,,,,4.0,4,,,"DHS 2012. 
 Statistical Agency under the President of the Republic of Tajikistan (SA), Ministry of Health [Tajikistan], ICF International. Tajikistan Demographic and Health Survey 2012. Dushanbe, Tajikistan, Calverton, Maryland, USA: SA, MOH, ICF International; 2013.
",2018-04-09T09:34:08Z,2007-2012,2007-01-01,2012-12-31
6307623,WHS4_115,COUNTRY,ESP,EUR,Europe,YEAR,2014,,,,,,,,,27.3,27.3,,,"Instituto Nacional Estadística [National Statistics Institute, Spain]; 2016. Nacimientos. Año 2014. Nacimientos por tipo de parto y orden del nacimiento 
[Births. Year 2013. Births by type of delivery and order of birth] [online database]. Madrid: Instituto Nacional Estadística [National Statistics Institute, Spain]; 2016 (http://www.ine.es/jaxi/Datos.htm?type=pcaxis&path=/t20/e301/nacim/a2014/l1/&file=01018.px, accessed 3 August 2016, in Spanish). 
",2018-04-09T09:34:07Z,2014,2014-01-01,2014-12-31
1525335,WHS4_115,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2016,,,,,,,,,30.7,30.7,,,"National Institute of Population Research and Training (NIPORT), International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b) , MEASURE Evaluation; 2017.  Bangladesh Maternal Mortality and Health Care Survey 2016: Preliminary Report. Dhaka and Chapel Hill: National Institute of Population Research and Training (NIPORT), International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b), MEASURE Evaluation; 2017. ",2018-04-09T09:34:04Z,2013-2016,2013-01-01,2016-12-31
1645839,WHS4_115,COUNTRY,CAN,AMR,Americas,YEAR,2015,,,,,,,,,27.9,27.9,,,"Canadian Institute for Health Information (CIHI); 2017. Health Indicators Interactive Tool. Health System Performance. 2015. Caesarean Section-2015-Percent [database]. Ottawa: Canadian Institute for Health Information (CIHI); 2017 (http://yourhealthsystem.cihi.ca/epub/SearchServlet, accessed on 22 December 2017). ",2018-04-09T09:34:05Z,2015,2015-01-01,2015-12-31
6802790,WHS4_115,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,28.0,28,,,Ministry of Health [Bahrain]; 2016. Health Statistics of 2015. Bahrain: Ministry of Health; 2016.,2018-04-09T09:34:04Z,2015,2015-01-01,2015-12-31
3283462,WHS4_115,COUNTRY,BLR,EUR,Europe,YEAR,2014,,,,,,,,,27.1,27.1,,,"European Health for All Database (HFA-DB), WHO Regional Office for Europe; 2016.  European Health for All Database (HFA-DB) [online database]. World Health Organization (WHO) Regional Office for Europe; 2016 (http://data.euro.who.int/hfadb, accessed 8 August 2016).",2018-04-09T09:34:04Z,2014,2014-01-01,2014-12-31
9352848,WHS4_115,COUNTRY,ZMB,AFR,Africa,YEAR,2014,,,,,,,,,4.4,4.4,,,"DHS 2013-14. 
 Central Statistical Office (CSO) [Zambia], Ministry of Health (MOH) [Zambia], ICF International. Zambia Demographic and Health Survey 2013-14. Rockville, Maryland, USA: Central Statistical Office, Ministry of Health, ICF International; 2015.
",2018-04-09T09:34:08Z,2008-2014,2008-01-01,2014-12-31
